Date,Open,High,Low,Close
2022-09-27,0.44682,0.46249,0.43817,0.44189
2022-09-28,0.44178,0.44251,0.42641,0.43729
2022-09-29,0.43731,0.43837,0.42846,0.43817
2022-09-30,0.43818,0.44054,0.43025,0.43441
2022-10-01,0.43443,0.43623,0.42896,0.43029
2022-10-02,0.43028,0.43229,0.41897,0.41963
2022-10-03,0.41964,0.4286,0.4181,0.428
2022-10-04,0.428,0.43722,0.42592,0.43576
2022-10-05,0.43578,0.43622,0.42471,0.43127
2022-10-06,0.43126,0.43668,0.42679,0.42869
2022-10-07,0.42869,0.43032,0.42239,0.42432
2022-10-08,0.42425,0.42676,0.42011,0.42174
2022-10-09,0.42179,0.424,0.41998,0.42307
2022-10-10,0.42305,0.42627,0.40179,0.4018
2022-10-11,0.40174,0.40174,0.38847,0.39054
2022-10-12,0.39058,0.39502,0.37864,0.3813
2022-10-13,0.38132,0.38201,0.35117,0.37764
2022-10-14,0.37763,0.38853,0.36205,0.36685
2022-10-15,0.36685,0.36937,0.36208,0.36374
2022-10-16,0.36381,0.37442,0.36381,0.37028
2022-10-17,0.37027,0.37533,0.3666,0.37235
2022-10-18,0.37234,0.3739,0.35932,0.36182
2022-10-19,0.36189,0.3622,0.34958,0.35003
2022-10-20,0.35004,0.3555,0.33772,0.34025
2022-10-21,0.34025,0.34958,0.33099,0.34908
2022-10-22,0.3491,0.35399,0.34396,0.35141
2022-10-23,0.3514,0.3633,0.3466,0.3621
2022-10-24,0.3621,0.36459,0.35438,0.35786
2022-10-25,0.35784,0.41419,0.35771,0.40199
2022-10-26,0.40167,0.41021,0.39636,0.40349
2022-10-27,0.40351,0.41427,0.3885,0.3887
2022-10-28,0.38867,0.41074,0.38011,0.40451
2022-10-29,0.40451,0.43573,0.40226,0.41978
2022-10-30,0.41986,0.42116,0.40038,0.40605
2022-10-31,0.40603,0.41517,0.39871,0.40634
2022-11-01,0.40629,0.41443,0.39992,0.4014
2022-11-02,0.40139,0.40775,0.3823,0.38608
2022-11-03,0.38606,0.39845,0.38514,0.38942
2022-11-04,0.3894,0.42531,0.38881,0.42153
2022-11-05,0.42153,0.43621,0.42077,0.42674
2022-11-06,0.42675,0.43028,0.40301,0.40301
2022-11-07,0.40297,0.41574,0.39903,0.40426
2022-11-08,0.40423,0.41349,0.35326,0.37183
2022-11-09,0.37196,0.37525,0.31238,0.31784
2022-11-10,0.31789,0.37656,0.31427,0.36898
2022-11-11,0.36897,0.37303,0.34339,0.35467
2022-11-12,0.3549,0.35583,0.33853,0.33914
2022-11-13,0.33918,0.34487,0.32736,0.33013
2022-11-14,0.33012,0.34056,0.31595,0.33185
2022-11-15,0.33187,0.34413,0.33034,0.33701
2022-11-16,0.33696,0.34393,0.32543,0.33238
2022-11-17,0.33242,0.33403,0.31996,0.32486
2022-11-18,0.32487,0.33216,0.3214,0.32622
2022-11-19,0.32622,0.33169,0.32307,0.32851
2022-11-20,0.32851,0.33073,0.31108,0.31231
2022-11-21,0.3123,0.31262,0.29729,0.30455
2022-11-22,0.30452,0.31587,0.2991,0.31192
2022-11-23,0.31198,0.31917,0.30985,0.31832
2022-11-24,0.31833,0.32068,0.31254,0.31646
2022-11-25,0.31642,0.31683,0.30831,0.31499
2022-11-26,0.31495,0.3219,0.31222,0.31379
2022-11-27,0.31379,0.31919,0.31229,0.31245
2022-11-28,0.31246,0.31378,0.3014,0.3067
2022-11-29,0.3067,0.31237,0.30497,0.30937
2022-11-30,0.30939,0.32063,0.30906,0.31888
2022-12-01,0.31889,0.31946,0.31362,0.31448
2022-12-02,0.31449,0.31984,0.31183,0.31941
2022-12-03,0.3194,0.32559,0.31713,0.31965
2022-12-04,0.31963,0.32366,0.31883,0.32275
2022-12-05,0.32271,0.32876,0.31732,0.31952
2022-12-06,0.31951,0.32086,0.31431,0.31846
2022-12-07,0.31848,0.31901,0.30806,0.31032
2022-12-08,0.31032,0.31565,0.30814,0.31484
2022-12-09,0.31482,0.31628,0.30937,0.31168
2022-12-10,0.31171,0.3148,0.31126,0.31261
2022-12-11,0.31262,0.31491,0.30674,0.30771
2022-12-12,0.3077,0.30781,0.30264,0.30695
2022-12-13,0.30694,0.31805,0.30018,0.31286
2022-12-14,0.31292,0.31521,0.30678,0.30813
2022-12-15,0.30812,0.30849,0.29836,0.3002
2022-12-16,0.30021,0.30115,0.26179,0.26407
2022-12-17,0.26402,0.26725,0.26027,0.2669
2022-12-18,0.26693,0.27068,0.264,0.26634
2022-12-19,0.26635,0.26929,0.25114,0.25294
2022-12-20,0.25296,0.26147,0.25221,0.25901
2022-12-21,0.25899,0.2592,0.24922,0.25315
2022-12-22,0.25316,0.25676,0.24818,0.25652
2022-12-23,0.25654,0.26231,0.25581,0.25943
2022-12-24,0.25943,0.26039,0.25736,0.25937
2022-12-25,0.25937,0.25991,0.2553,0.25927
2022-12-26,0.25929,0.26531,0.25799,0.2653
2022-12-27,0.26531,0.26597,0.25749,0.26037
2022-12-28,0.26038,0.26084,0.24796,0.24838
2022-12-29,0.24838,0.24846,0.24109,0.24414
2022-12-30,0.24413,0.24599,0.24035,0.24556
2022-12-31,0.24558,0.25169,0.24443,0.24647
2023-01-01,0.24641,0.24977,0.24424,0.24977
2023-01-02,0.24978,0.25577,0.24737,0.25383
